symbol,conid
TSLA,
AAPL,
NVDA,
AMZN,
AMD,
META,
MSFT,
AMC,
GOOGL,
PLTR,
BAC,
BABA,
GOOG,
MARA,
INTC,
SOFI,
NIO,
COIN,
NFLX,
F,
RIVN,
DIS,
PYPL,
SNAP,
C,
PFE,
UBER,
CVNA,
RIOT,
CCL,
SHOP,
BBBY,
XOM,
T,
AAL,
GME,
MU,
AFRM,
LCID,
JPM,
WFC,
AI,
BA,
UPST,
GM,
OXY,
PLUG,
DKNG,
ROKU,
SCHW,
VZ,
CSCO,
JD,
TSM,
RBLX,
HOOD,
ORCL,
XPEV,
WMT,
WBD,
JNJ,
LYFT,
NKE,
KO,
ENPH,
TGT,
FCX,
PINS,
SBUX,
CRM,
KVUE,
QCOM,
DAL,
ABNB,
MPW,
ZM,
CLF,
U,
CVX,
CHPT,
DVN,
TLRY,
PDD,
MRVL,
UAL,
ET,
RIG,
PBR,
CRWD,
CVS,
M,
MS,
SPCE,
ADBE,
COST,
PTON,
CHWY,
PANW,
CCJ,
GS,
AVGO,
NCLH,
CAT,
HD,
IBM,
BYND,
FUBO,
DOCU,
BX,
DDOG,
NEM,
V,
BMY,
AMAT,
SIRI,
BP,
VALE,
W,
SU,
TTD,
LI,
BIDU,
CGC,
MO,
ABBV,
RTX,
FSLR,
RUN,
SMCI,
UPS,
AA,
TWLO,
LULU,
LUV,
NEE,
FDX,
LLY,
MRK,
MCD,
COP,
UNH,
GE,
JBLU,
CMCSA,
AGNC,
NET,
LVS,
DASH,
QS,
ZS,
SLB,
USB,
ETSY,
WYNN,
PG,
ENVX,
LUMN,
MSTR,
MMM,
NVAX,
TDOC,
BB,
TEVA,
PEP,
KMI,
HAL,
RCL,
TXN,
BILI,
ZIM,
PENN,
MDB,
AXP,
TMUS,
ON,
KSS,
MA,
HUT,
ABT,
MGM,
VFS,
KHC,
EOSE,
APA,
IQ,
KEY,
OKTA,
FUTU,
VLO,
TRP,
FCEL,
LOW,
WAL,
AR,
LRCX,
HPQ,
EQT,
AZN,
DE,
AG,
VFC,
DG,
CM,
SPOT,
TFC,
MDT,
ALLY,
EBAY,
KR,
GILD,
NLY,
KGC,
CPNG,
MANU,
ONON,
TECK,
WDC,
Z,
TOST,
DLTR,
ALB,
BEKE,
LMT,
COF,
CLSK,
FSLY,
ARM,
AEM,
EXPE,
CVE,
MTCH,
ULTA,
ANET,
BBY,
CELH,
NOW,
MET,
CNQ,
ENB,
BLNK,
FTNT,
MOS,
GT,
KMX,
HL,
CROX,
NVO,
EPD,
CMG,
TD,
SEDG,
MPC,
IONQ,
NOK,
WW,
AMGN,
APPS,
TSEM,
PCG,
DKS,
RY,
MVIS,
IEP,
ZION,
TSN,
SHEL,
TJX,
UBS,
BUD,
ASML,
BSX,
BILL,
TGTX,
AFL,
GNRC,
QSR,
MLCO,
STNG,
BKNG,
AAP,
NUE,
TTWO,
UNP,
HON,
RH,
FANG,
SNDL,
ABR,
PNC,
CRSP,
LEN,
ADM,
DHI,
MGA,
PCT,
MFC,
TEAM,
HTZ,
ING,
TAL,
ADI,
PM,
SOUN,
ASAN,
PAAS,
EOG,
STNE,
DXCM,
GRAB,
BITF,
FIS,
HE,
RIO,
STX,
GTLB,
CLOV,
WDAY,
APLD,
FHN,
VRT,
ASTS,
CMA,
SFIX,
HSBC,
APLS,
LMND,
MAR,
DB,
ACN,
AEO,
SLG,
EL,
GIS,
ISRG,
NTR,
SAVA,
JMIA,
PSX,
MCHP,
RKLB,
FITB,
HUM,
COTY,
PSTG,
INTU,
GSAT,
GRPN,
APO,
DHR,
MELI,
LAC,
SRPT,
CTRA,
CF,
MDLZ,
WPM,
ROST,
DLR,
APP,
ANF,
VKTX,
MP,
SPY,
QQQ,
IWM,
TQQQ,
SQQQ,
TLT,
SLV,
GLD,
UVXY,
EEM,
XLF,
HYG,
KRE,
SOXL,
ARKK,
GDX,
EWZ,
XLE,
FXI,
EFA,
