symbol,volume,size,score
NVDA,212655.0,782.0,21267064.0
AAPL,109877.0,2405.0,10992510.0
TSLA,54011.0,408.0,5401916.0
GOOGL,49532.0,1476.0,4956152.0
MARA,44465.0,20257.0,4487014.0
INTC,27788.0,43971.0,2866742.0
NIO,27736.0,29543.0,2832686.0
NFLX,27489.0,9895.0,2768690.0
GOOG,27569.0,1498.0,2759896.0
SOFI,20263.0,14047.0,2054394.0
F,15383.0,22365.0,1583030.0
BAC,11710.0,27814.0,1226628.0
BABA,8690.0,17228.0,903456.0
AMC,7467.0,24257.0,795214.0
TQQQ,5689.0,3097.0,575094.0
COIN,2044.0,19451.0,243302.0
META,2387.0,1413.0,241526.0
MSFT,2388.0,53.0,238906.0
AMZN,1865.0,1389.0,189278.0
PLTR,968.0,4203.0,105206.0
AMD,907.0,939.0,92578.0
SPY,248.0,16698.0,58196.0
QQQ,302.0,522.0,31244.0
